index,Product Card Id,Product Name,Product Price,Product Status,Product Description,Product Image,Category Id
0,1360,Smart watch ,327.75,0,,http://images.acmesports.sports/Smart+watch ,73.0
48,365,Perfect Fitness Perfect Rip Deck,59.99000168,0,,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,17.0
49,627,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,29.0
50,502,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,24.0
55,278,Under Armour Men's Compression EV SL Slide,44.99000168,0,,http://images.acmesports.sports/Under+Armour+Men%27s+Compression+EV+SL+Slide,13.0
56,249,Under Armour Women's Micro G Skulpt Running S,54.97000122,0,,http://images.acmesports.sports/Under+Armour+Women%27s+Micro+G+Skulpt+Running+Shoe,12.0
59,191,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,9.0
61,917,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977,0,,http://images.acmesports.sports/Glove+It+Women%27s+Mod+Oval+3-Zip+Carry+All+Golf+Bag,41.0
62,828,Bridgestone e6 Straight Distance NFL San Dieg,31.98999977,0,,http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+San+Diego+Chargers...,37.0
97,642,Columbia Men's PFG Anchor Tough T-Shirt,30.0,0,,http://images.acmesports.sports/Columbia+Men%27s+PFG+Anchor+Tough+T-Shirt,29.0
115,818,Titleist Pro V1x Golf Balls,47.99000168,0,,http://images.acmesports.sports/Titleist+Pro+V1x+Golf+Balls,37.0
116,825,Bridgestone e6 Straight Distance NFL Tennesse,31.98999977,0,,http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+Tennessee+Titans+Golf...,37.0
117,306,Polar FT4 Heart Rate Monitor,89.98999786,0,,http://images.acmesports.sports/Polar+FT4+Heart+Rate+Monitor,38.0
118,977,ENO Atlas Hammock Straps,29.98999977,0,,http://images.acmesports.sports/ENO+Atlas+Hammock+Straps,44.0
119,44,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99000168,0,,http://images.acmesports.sports/adidas+Men%27s+F10+Messi+TRX+FG+Soccer+Cleat,3.0
129,251,Brooks Women's Ghost 6 Running Shoe,89.98999786,0,,http://images.acmesports.sports/Brooks+Women%27s+Ghost+6+Running+Shoe,12.0
138,403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,18.0
143,957,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,
145,1352,Industrial consumer electronics,252.8800049,0,,http://images.acmesports.sports/Industrial+consumer+electronics,65.0
146,1349,Web Camera,452.0400085,0,,http://images.acmesports.sports/Web+Camera,62.0
152,1351,Dell Laptop,1500.0,0,,http://images.acmesports.sports/Dell+Laptop,64.0
174,60,SOLE E25 Elliptical,999.9899902,0,,http://images.acmesports.sports/SOLE+E25+Elliptical,4.0
175,24,Elevation Training Mask 2.0,79.98999786,0,,http://images.acmesports.sports/Elevation+Training+Mask+2.0,2.0
191,567,adidas Men's Germany Black Crest Away Tee,25.0,0,,http://images.acmesports.sports/adidas+Men%27s+Germany+Black+Crest+Away+Tee,26.0
197,893,Team Golf Pittsburgh Steelers Putter Grip,24.98999977,0,,http://images.acmesports.sports/Team+Golf+Pittsburgh+Steelers+Putter+Grip,40.0
198,924,Glove It Urban Brick Golf Towel,15.98999977,0,,http://images.acmesports.sports/Glove+It+Urban+Brick+Golf+Towel,
204,905,Team Golf Texas Longhorns Putter Grip,24.98999977,0,,http://images.acmesports.sports/Team+Golf+Texas+Longhorns+Putter+Grip,40.0
215,564,Nike Men's Deutschland Weltmeister Winners Bl,30.0,0,,http://images.acmesports.sports/Nike+Men%27s+Deutschland+Weltmeister+Winners+Black+T-Shirt,26.0
219,885,Team Golf St. Louis Cardinals Putter Grip,24.98999977,0,,http://images.acmesports.sports/Team+Golf+St.+Louis+Cardinals+Putter+Grip,40.0
234,1363,Summer dresses,215.8200073,0,,http://images.acmesports.sports/Summer+dresses,76.0
243,1353,Porcelain crafts,461.480011,0,,http://images.acmesports.sports/Porcelain+crafts,66.0
272,1357,Men's gala suit,210.8500061,0,,http://images.acmesports.sports/Men+gala+suit,70.0
287,906,Team Golf Tennessee Volunteers Putter Grip,24.98999977,0,,http://images.acmesports.sports/Team+Golf+Tennessee+Volunteers+Putter+Grip,
289,886,Team Golf San Francisco Giants Putter Grip,24.98999977,0,,http://images.acmesports.sports/Team+Golf+San+Francisco+Giants+Putter+Grip,40.0
290,926,Glove It Imperial Golf Towel,15.98999977,0,,http://images.acmesports.sports/Glove+It+Imperial+Golf+Towel,41.0
294,116,Nike Men's Comfort 2 Slide,44.99000168,0,,http://images.acmesports.sports/Nike+Men%27s+Comfort+2+Slide,6.0
301,235,Under Armour Hustle Storm Medium Duffle Bag,34.99000168,0,,http://images.acmesports.sports/Under+Armour+Hustle+Storm+Medium+Duffle+Bag,11.0
303,273,Under Armour Kids' Mercenary Slide,27.98999977,0,,http://images.acmesports.sports/Under+Armour+Kids%27+Mercenary+Slide,13.0
308,282,Under Armour Women's Ignite PIP VI Slide,31.98999977,0,,http://images.acmesports.sports/Under+Armour+Women%27s+Ignite+PIP+VI+Slide,13.0
316,359,Nike Men's Free TR 5.0 TB Training Shoe,99.98999786,0,,http://images.acmesports.sports/Nike+Men%27s+Free+TR+5.0+TB+Training+Shoe,16.0
333,565,adidas Youth Germany Black/Red Away Match Soc,70.0,0,,http://images.acmesports.sports/adidas+Youth+Germany+Black%2FRed+Away+Match+Soccer+Jersey,26.0
349,572,TYR Boys' Team Digi Jammer,39.99000168,0,,http://images.acmesports.sports/TYR+Boys%27+Team+Digi+Jammer,26.0
360,804,Glove It Women's Imperial Golf Glove,19.98999977,0,,http://images.acmesports.sports/Glove+It+Women%27s+Imperial+Golf+Glove,36.0
361,822,Titleist Pro V1x High Numbers Golf Balls,47.99000168,0,,http://images.acmesports.sports/Titleist+Pro+V1x+High+Numbers+Golf+Balls,37.0
480,835,Bridgestone e6 Straight Distance NFL Carolina,31.98999977,0,,http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+Carolina+Panthers+Golf...,37.0
482,276,Under Armour Women's Ignite Slide,31.98999977,0,,http://images.acmesports.sports/Under+Armour+Women%27s+Ignite+Slide,13.0
505,823,Titleist Pro V1x High Numbers Personalized Go,51.99000168,0,,http://images.acmesports.sports/Titleist+Pro+V1x+High+Numbers+Personalized+Golf+Balls,
547,203,GoPro HERO3+ Black Edition Camera,399.9899902,0,,http://images.acmesports.sports/GoPro+HERO3%2B+Black+Edition+Camera,
552,364,Total Gym 1400,299.9899902,0,,http://images.acmesports.sports/Total+Gym+1400,17.0
624,1350,Children's heaters,357.1000061,0,,http://images.acmesports.sports/Children+heaters,63.0
675,897,Team Golf New England Patriots Putter Grip,24.98999977,0,,http://images.acmesports.sports/Team+Golf+New+England+Patriots+Putter+Grip,40.0
698,37,adidas Kids' F5 Messi FG Soccer Cleat,34.99000168,0,,http://images.acmesports.sports/adidas+Kids%27+F5+Messi+FG+Soccer+Cleat,3.0
700,172,Nike Women's Tempo Shorts,30.0,0,,http://images.acmesports.sports/Nike+Women%27s+Tempo+Shorts,9.0
746,810,Glove It Women's Mod Oval Golf Glove,19.98999977,0,,http://images.acmesports.sports/Glove+It+Women%27s+Mod+Oval+Golf+Glove,36.0
755,821,Titleist Pro V1 High Numbers Personalized Gol,51.99000168,0,,http://images.acmesports.sports/Titleist+Pro+V1+High+Numbers+Personalized+Golf+Balls,37.0
775,93,Under Armour Men's Tech II T-Shirt,24.98999977,0,,http://images.acmesports.sports/Under+Armour+Men%27s+Tech+II+T-Shirt,5.0
886,1347,Baby sweater,59.08000183,0,,http://images.acmesports.sports/Baby+sweater,60.0
1357,305,Mio ALPHA Heart Rate Monitor/Sport Watch,199.0,0,,http://images.acmesports.sports/Mio+ALPHA+Heart+Rate+Monitor%2FSport+Watch,
1358,1004,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,,http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe,45.0
1360,1346,Sports Books ,31.07999992,0,,http://images.acmesports.sports/Sports+Books,59.0
1376,58,Diamondback Boys' Insight 24 Performance Hybr,299.9899902,0,,http://images.acmesports.sports/Diamondback+Boys%27+Insight+24+Performance+Hybrid+Bike+2014,4.0
1506,311,Polar Loop Activity Tracker,109.9499969,0,,http://images.acmesports.sports/Polar+Loop+Activity+Tracker,38.0
1507,303,Garmin Forerunner 910XT GPS Watch,399.9899902,0,,http://images.acmesports.sports/Garmin+Forerunner+910XT+GPS+Watch,38.0
